Customer,State,Education,EmploymentStatus,Gender,Location,Marital Status,Vehicle,Income
WR58220,Oregon,Bachelor,Unemployed,M,Suburban,Single,SUV,0
RT64920,Oregon,Master,Employed,M,Urban,Married,Four-Door Car,55836
IR58695,Oregon,High School or Below,Employed,M,Suburban,Married,Four-Door Car,40352
AS93181,Arizona,Bachelor,Disabled,F,Suburban,Married,Sports Car,14985
ML23548,Arizona,Doctor,Employed,F,Suburban,Married,Sports Car,27458
PU71194,Oregon,Bachelor,Employed,F,Suburban,Divorced,Luxury Car,56343
QT46430,California,College,Medical Leave,F,Rural,Married,Sports Car,12780
WP83694,California,Bachelor,Employed,F,Rural,Married,SUV,68558
UE19977,California,College,Employed,F,Rural,Divorced,Two-Door Car,47747
WC83942,Oregon,Bachelor,Medical Leave,M,Suburban,Married,Four-Door Car,16113
HZ62410,Oregon,Bachelor,Unemployed,M,Suburban,Single,Four-Door Car,0
CE72177,California,High School or Below,Employed,F,Suburban,Married,Four-Door Car,39626
YI89801,California,High School or Below,Employed,F,Suburban,Single,Four-Door Car,49304
KB53430,Oregon,High School or Below,Retired,M,Suburban,Married,Four-Door Car,27972
KB50999,California,College,Employed,F,Urban,Married,Two-Door Car,27568
JO17193,Washington,Bachelor,Retired,M,Suburban,Divorced,Four-Door Car,25905
BO42776,Washington,Bachelor,Employed,M,Suburban,Married,SUV,21442
OZ19432,Nevada,High School or Below,Employed,F,Rural,Married,Four-Door Car,34516
VT34834,Nevada,High School or Below,Unemployed,M,Suburban,Married,Four-Door Car,0
MI65698,Oregon,College,Employed,F,Urban,Divorced,Two-Door Car,28354
IG85969,Arizona,College,Unemployed,F,Suburban,Single,Two-Door Car,0
SE72928,California,Master,Employed,M,Rural,Single,Sports Car,37722
QV47358,Arizona,Bachelor,Employed,F,Suburban,Single,Four-Door Car,32021
HR50405,Oregon,Bachelor,Medical Leave,F,Rural,Married,Four-Door Car,13393
MN53151,Oregon,College,Retired,M,Suburban,Divorced,Sports Car,13624
VD64777,Nevada,College,Employed,F,Suburban,Single,Two-Door Car,27800
EG21289,California,College,Employed,F,Rural,Married,Luxury Car,58419
YI85251,Nevada,High School or Below,Employed,M,Urban,Married,Four-Door Car,50407
RD61361,Arizona,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
PG26401,Washington,High School or Below,Employed,M,Suburban,Married,SUV,77603
NV91476,California,College,Employed,F,Suburban,Married,Four-Door Car,75606
SJ16410,Arizona,Bachelor,Employed,M,Rural,Single,Four-Door Car,41458
BI17208,Oregon,College,Unemployed,M,Suburban,Married,Two-Door Car,0
WR70403,Washington,High School or Below,Unemployed,M,Suburban,Divorced,Two-Door Car,0
ZZ22858,Arizona,Bachelor,Employed,F,Rural,Married,Luxury Car,70619
EZ75048,California,Doctor,Employed,M,Urban,Married,Four-Door Car,41273
CN31328,Arizona,College,Employed,F,Suburban,Divorced,Four-Door Car,46946
ZP91150,Oregon,College,Unemployed,M,Suburban,Single,Four-Door Car,0
LC77957,Oregon,Bachelor,Employed,M,Rural,Married,SUV,99180
PT34656,California,College,Employed,F,Suburban,Married,Four-Door Car,55350
MI99404,California,College,Retired,M,Suburban,Single,Two-Door Car,28215
AI58313,Nevada,College,Employed,F,Suburban,Divorced,Sports Car,75425
VA60020,Nevada,High School or Below,Employed,F,Rural,Married,Four-Door Car,63583
TW53467,California,Bachelor,Unemployed,M,Suburban,Single,Four-Door Car,0
IC11062,Nevada,High School or Below,Employed,F,Suburban,Married,SUV,37995
OO11531,Nevada,Master,Employed,F,Urban,Married,Four-Door Car,37125
JV80614,California,College,Employed,M,Rural,Married,Four-Door Car,53357
IC70693,California,Bachelor,Employed,F,Suburban,Married,Luxury Car,70140
JY45326,Oregon,College,Employed,M,Suburban,Married,Luxury SUV,52380
QW17940,California,High School or Below,Employed,M,Rural,Married,Four-Door Car,79292
AV25133,Oregon,College,Unemployed,F,Suburban,Single,Two-Door Car,0
QJ57215,Nevada,College,Unemployed,F,Suburban,Single,SUV,0
IG94072,Oregon,High School or Below,Employed,F,Suburban,Married,Sports Car,75425
WC28543,Arizona,Bachelor,Disabled,M,Suburban,Married,Two-Door Car,20992
DH13219,Washington,Bachelor,Employed,M,Suburban,Married,Four-Door Car,57428
ET80689,California,College,Employed,M,Urban,Married,SUV,92606
JD10245,California,High School or Below,Employed,M,Suburban,Divorced,SUV,86001
XO96556,Arizona,Master,Employed,M,Suburban,Married,Two-Door Car,79751
UJ61336,Arizona,Bachelor,Employed,F,Urban,Married,Four-Door Car,68654
XS94482,Arizona,Master,Unemployed,F,Urban,Single,Two-Door Car,0
QX57337,Oregon,Doctor,Employed,F,Rural,Single,Four-Door Car,92629
CZ35936,California,High School or Below,Employed,F,Urban,Single,SUV,54094
IM41800,Nevada,College,Employed,M,Suburban,Married,Four-Door Car,95419
GI70742,Oregon,High School or Below,Employed,F,Urban,Married,Four-Door Car,66466
HQ32112,Arizona,High School or Below,Employed,M,Rural,Married,SUV,68131
CC85895,Nevada,Bachelor,Employed,F,Urban,Married,SUV,56481
CF40646,California,College,Employed,M,Suburban,Married,SUV,70082
RF39856,Nevada,Bachelor,Employed,M,Rural,Married,SUV,51437
VT85216,Nevada,High School or Below,Unemployed,M,Suburban,Single,Four-Door Car,0
SW69117,Oregon,College,Disabled,M,Urban,Married,Two-Door Car,27972
EI58852,Arizona,High School or Below,Employed,F,Suburban,Married,Four-Door Car,24930
FN61865,Nevada,Master,Employed,F,Rural,Single,Two-Door Car,26245
LI11560,California,Bachelor,Employed,F,Suburban,Married,Four-Door Car,57883
NY12562,Nevada,College,Unemployed,F,Suburban,Single,Four-Door Car,0
GE46404,Oregon,College,Employed,F,Suburban,Married,Four-Door Car,58828
PP26786,Arizona,College,Employed,M,Suburban,Married,Four-Door Car,51906
BE55425,Oregon,College,Employed,M,Suburban,Married,Four-Door Car,28095
SH75038,California,Bachelor,Employed,F,Suburban,Divorced,Two-Door Car,88723
LD22387,California,High School or Below,Employed,F,Urban,Married,Four-Door Car,53078
FF94034,California,Bachelor,Employed,F,Rural,Divorced,Sports Car,88895
YK16362,Arizona,Bachelor,Employed,F,Rural,Married,SUV,60078
DN10177,California,College,Unemployed,M,Suburban,Single,Two-Door Car,0
IV35546,Nevada,Master,Employed,F,Urban,Married,Four-Door Car,45820
SK12432,Arizona,Bachelor,Unemployed,M,Suburban,Single,Four-Door Car,0
DF71709,California,College,Medical Leave,M,Suburban,Divorced,Two-Door Car,12439
UT61518,California,Bachelor,Employed,M,Suburban,Married,Four-Door Car,25998
PU75847,Arizona,College,Employed,M,Suburban,Married,Four-Door Car,98451
XA47378,California,Bachelor,Employed,F,Suburban,Married,Two-Door Car,23803
NE22677,California,College,Unemployed,M,Suburban,Divorced,SUV,0
HV62406,Oregon,High School or Below,Disabled,F,Suburban,Single,Four-Door Car,26100
VS20668,Nevada,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
YZ79232,Oregon,Master,Unemployed,M,Urban,Single,Four-Door Car,0
ND87457,Nevada,Bachelor,Employed,M,Suburban,Divorced,Four-Door Car,65252
TY59231,California,Bachelor,Employed,F,Suburban,Single,SUV,48567
DA54619,Oregon,High School or Below,Employed,F,Suburban,Married,Four-Door Car,34337
OL27257,Nevada,College,Medical Leave,F,Urban,Married,Two-Door Car,20394
TH86528,Washington,High School or Below,Unemployed,F,Suburban,Single,Two-Door Car,0
DS34823,Arizona,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
HB24005,California,College,Employed,M,Urban,Single,Four-Door Car,31617
ZV96574,California,High School or Below,Unemployed,F,Suburban,Married,Four-Door Car,0
JC80093,Washington,Master,Employed,M,Rural,Divorced,Four-Door Car,21104
KN24990,Arizona,College,Employed,M,Suburban,Married,Luxury Car,37748
RR39751,California,Bachelor,Unemployed,F,Urban,Married,Four-Door Car,0
BN80677,Oregon,Bachelor,Employed,M,Suburban,Single,Two-Door Car,25023
WL74893,Oregon,College,Unemployed,F,Urban,Married,Four-Door Car,0
ZN59196,Oregon,Bachelor,Medical Leave,F,Suburban,Married,Four-Door Car,14108
PF77449,Washington,High School or Below,Employed,F,Suburban,Married,Four-Door Car,23923
HO38996,Oregon,High School or Below,Unemployed,M,Suburban,Married,Four-Door Car,0
YU86361,Washington,Master,Employed,F,Suburban,Divorced,Luxury SUV,22705
PJ13204,California,High School or Below,Unemployed,F,Suburban,Married,Two-Door Car,0
SP63623,Oregon,College,Unemployed,M,Suburban,Single,Four-Door Car,0
DP33625,Arizona,College,Employed,M,Urban,Married,SUV,50825
BJ18904,Arizona,College,Medical Leave,M,Suburban,Married,SUV,14616
TR26615,Oregon,High School or Below,Unemployed,M,Urban,Married,Two-Door Car,0
ZD44648,Arizona,College,Employed,M,Suburban,Single,SUV,29504
QW60568,California,College,Employed,M,Rural,Married,Four-Door Car,58789
XS78545,Oregon,College,Employed,F,Suburban,Married,Four-Door Car,29491
EU19773,Arizona,High School or Below,Employed,F,Urban,Married,Four-Door Car,78077
ZL45417,California,High School or Below,Unemployed,F,Suburban,Single,Two-Door Car,0
JS58659,Nevada,Bachelor,Employed,M,Urban,Married,Four-Door Car,76558
XK84089,California,Bachelor,Employed,M,Urban,Divorced,Two-Door Car,78618
LH91968,Oregon,Bachelor,Employed,M,Rural,Married,SUV,82664
NX63627,Oregon,Doctor,Medical Leave,M,Suburban,Married,Sports Car,23053
ND62955,Nevada,Bachelor,Employed,M,Suburban,Married,SUV,50250
YQ11786,Oregon,High School or Below,Employed,M,Urban,Married,Luxury SUV,32169
TM13955,Washington,Master,Unemployed,M,Urban,Married,Four-Door Car,0
IA91291,Arizona,College,Employed,F,Rural,Married,Four-Door Car,99069
RO89785,Oregon,College,Medical Leave,M,Suburban,Married,Four-Door Car,20978
QW40898,Arizona,College,Medical Leave,F,Suburban,Married,Four-Door Car,17576
ZD40816,Nevada,Bachelor,Employed,M,Urban,Married,Four-Door Car,42297
PD82395,Arizona,Bachelor,Unemployed,F,Suburban,Married,Four-Door Car,0
NW23827,California,College,Unemployed,F,Rural,Married,Four-Door Car,0
GG61186,Nevada,Doctor,Unemployed,F,Rural,Married,Four-Door Car,0
TB31268,Arizona,College,Employed,F,Suburban,Married,Four-Door Car,48990
SX98462,Oregon,College,Disabled,M,Suburban,Married,Four-Door Car,16916
OL82456,Oregon,Bachelor,Disabled,M,Suburban,Married,Sports Car,18375
DN14211,Oregon,College,Medical Leave,M,Suburban,Married,Two-Door Car,17150
ZG12619,Washington,Bachelor,Disabled,F,Suburban,Married,Four-Door Car,23815
VH31071,Arizona,College,Disabled,F,Suburban,Married,SUV,21947
SP36555,Arizona,Bachelor,Unemployed,M,Suburban,Single,Four-Door Car,0
ME83611,Nevada,Bachelor,Employed,F,Rural,Single,Four-Door Car,89451
PH85036,Washington,Bachelor,Employed,F,Urban,Married,Four-Door Car,79325
PE54870,Oregon,College,Employed,M,Urban,Divorced,SUV,88454
DT52189,California,High School or Below,Unemployed,F,Suburban,Divorced,Four-Door Car,0
XN48526,California,College,Medical Leave,F,Urban,Married,Four-Door Car,20943
KW52227,California,Bachelor,Employed,M,Suburban,Married,Four-Door Car,51972
JC98569,Oregon,College,Employed,F,Urban,Married,Four-Door Car,54408
BG48083,Nevada,Bachelor,Employed,F,Suburban,Single,Two-Door Car,23751
PD19551,California,Bachelor,Employed,F,Suburban,Divorced,Four-Door Car,37612
BJ13380,Oregon,Bachelor,Employed,F,Suburban,Single,Four-Door Car,91603
HY25004,Arizona,High School or Below,Unemployed,F,Suburban,Married,Two-Door Car,0
WF50693,Oregon,High School or Below,Disabled,M,Suburban,Married,SUV,16450
MA45099,Oregon,Bachelor,Employed,M,Rural,Married,Four-Door Car,50864
ZC69696,Arizona,College,Employed,F,Suburban,Divorced,SUV,74560
VO43359,California,High School or Below,Employed,M,Urban,Married,Four-Door Car,62488
OM63954,California,Bachelor,Employed,F,Suburban,Single,Two-Door Car,55837
GV71044,Oregon,College,Unemployed,F,Suburban,Single,Two-Door Car,0
TM79451,California,College,Employed,F,Rural,Single,Four-Door Car,97742
PA84292,Oregon,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
QX67584,Nevada,High School or Below,Employed,F,Urban,Married,SUV,64125
JK90180,Arizona,College,Unemployed,M,Suburban,Single,Four-Door Car,0
BH35482,Washington,Doctor,Employed,M,Rural,Married,Two-Door Car,70412
VU84949,Washington,Bachelor,Unemployed,F,Suburban,Married,Two-Door Car,0
SF46129,California,High School or Below,Employed,M,Suburban,Married,Four-Door Car,66267
OH35544,Nevada,College,Unemployed,F,Suburban,Single,Four-Door Car,0
ZF82387,Oregon,High School or Below,Employed,M,Urban,Divorced,Two-Door Car,40882
MD40054,Oregon,High School or Below,Employed,M,Suburban,Single,Two-Door Car,34498
LE96510,Oregon,High School or Below,Unemployed,F,Suburban,Married,Four-Door Car,0
MC11907,California,High School or Below,Medical Leave,F,Suburban,Married,Four-Door Car,23228
DA57177,Oregon,College,Employed,F,Rural,Married,SUV,40864
SU77646,Oregon,Master,Employed,M,Rural,Divorced,Four-Door Car,46133
YZ19736,Arizona,College,Employed,M,Suburban,Married,Four-Door Car,46900
JZ69749,Washington,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
BJ22117,Washington,Master,Employed,M,Urban,Married,Four-Door Car,53390
UQ60825,California,College,Employed,F,Urban,Married,SUV,99185
ZZ89380,Oregon,Bachelor,Employed,F,Rural,Married,Two-Door Car,62815
LU87443,Oregon,College,Employed,F,Suburban,Single,Four-Door Car,26277
DG33206,Washington,Doctor,Employed,F,Urban,Married,Four-Door Car,41854
AB98823,Arizona,College,Unemployed,M,Suburban,Married,Two-Door Car,0
MS34991,Arizona,High School or Below,Employed,M,Suburban,Married,Four-Door Car,66627
EE53627,Oregon,High School or Below,Disabled,M,Urban,Single,Four-Door Car,12131
XY39691,Arizona,High School or Below,Unemployed,F,Suburban,Married,SUV,0
ZU96776,California,Bachelor,Unemployed,M,Suburban,Single,Two-Door Car,0
FF84784,California,College,Employed,M,Suburban,Married,Two-Door Car,33317
QT90140,Arizona,Doctor,Employed,F,Urban,Married,Four-Door Car,68931
TO71844,Oregon,College,Unemployed,M,Suburban,Single,Four-Door Car,0
HV69023,California,High School or Below,Medical Leave,F,Suburban,Married,SUV,19189
RE32481,California,Master,Employed,F,Urban,Married,Luxury Car,49390
CA79988,Oregon,College,Employed,M,Rural,Single,Four-Door Car,33124
DO48071,California,College,Employed,F,Rural,Married,Two-Door Car,40516
MW48891,Washington,High School or Below,Unemployed,F,Suburban,Divorced,Sports Car,0
JC37277,Oregon,College,Employed,M,Suburban,Married,Four-Door Car,34615
YU80673,California,College,Disabled,F,Rural,Married,Four-Door Car,29894
BV69462,Oregon,Bachelor,Unemployed,F,Suburban,Single,Two-Door Car,0
DW86238,Washington,High School or Below,Unemployed,M,Suburban,Single,Four-Door Car,0
BQ51616,Oregon,High School or Below,Employed,F,Rural,Married,Luxury SUV,86732
XX89213,Nevada,Master,Employed,F,Rural,Married,Luxury SUV,68516
JC96695,California,Doctor,Employed,M,Suburban,Married,SUV,31562
RN55306,Oregon,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
WH36609,Arizona,Bachelor,Employed,F,Suburban,Married,Four-Door Car,24477
UO43395,Oregon,Master,Unemployed,M,Suburban,Single,SUV,0
DS32060,California,College,Employed,M,Suburban,Married,Two-Door Car,20046
LK51056,Arizona,Bachelor,Employed,M,Suburban,Married,SUV,78152
PX71218,Arizona,Bachelor,Unemployed,M,Suburban,Married,Four-Door Car,0
NS19456,Oregon,College,Employed,F,Suburban,Married,Sports Car,36067
MR60878,Oregon,Bachelor,Employed,F,Rural,Married,Four-Door Car,44362
MB32944,Nevada,Master,Employed,M,Suburban,Divorced,Four-Door Car,77350
FE70473,Oregon,College,Employed,F,Rural,Married,Two-Door Car,86641
XB64251,Oregon,College,Employed,M,Rural,Married,SUV,72258
WI38796,Oregon,Bachelor,Employed,M,Suburban,Married,SUV,70737
KS12294,California,Bachelor,Unemployed,M,Suburban,Single,SUV,0
US89453,California,College,Unemployed,M,Suburban,Single,SUV,0
XK39439,California,College,Unemployed,M,Suburban,Single,Four-Door Car,0
VJ71087,Arizona,Bachelor,Disabled,M,Suburban,Divorced,SUV,17672
FM54600,Washington,High School or Below,Unemployed,F,Suburban,Single,SUV,0
UV43859,Oregon,High School or Below,Employed,F,Suburban,Married,SUV,47297
JP28293,California,Doctor,Employed,F,Rural,Married,Four-Door Car,57240
UV48189,California,Bachelor,Employed,M,Suburban,Married,SUV,28181
ZA34848,Arizona,Bachelor,Employed,F,Suburban,Divorced,Two-Door Car,31275
FA57012,California,College,Unemployed,M,Suburban,Single,Luxury Car,0
GU82757,California,Bachelor,Employed,F,Rural,Divorced,Four-Door Car,63774
KW12214,Oregon,High School or Below,Employed,M,Suburban,Married,SUV,78441
EG97649,Oregon,College,Unemployed,F,Suburban,Divorced,SUV,0
YB42706,Nevada,College,Unemployed,M,Suburban,Married,Two-Door Car,0
WV74449,Washington,College,Unemployed,F,Urban,Married,SUV,0
AZ77669,Oregon,High School or Below,Employed,M,Urban,Married,SUV,91423
FM25704,Oregon,Bachelor,Employed,M,Urban,Married,Two-Door Car,86933
UR34922,California,Doctor,Employed,M,Urban,Divorced,Four-Door Car,65255
RA17555,Oregon,High School or Below,Employed,M,Urban,Married,Four-Door Car,41533
AW71157,California,College,Employed,M,Rural,Divorced,Four-Door Car,50097
IN91592,California,Bachelor,Employed,F,Suburban,Married,Four-Door Car,73858
WX37953,Oregon,College,Employed,F,Suburban,Married,Four-Door Car,94943
NL85206,California,College,Employed,F,Rural,Married,Four-Door Car,72685
PR23514,California,College,Employed,M,Rural,Divorced,Luxury SUV,60184
XZ23352,California,High School or Below,Unemployed,F,Suburban,Single,SUV,0
MX80067,California,High School or Below,Employed,M,Suburban,Single,Four-Door Car,74045
HR10835,Nevada,High School or Below,Employed,M,Rural,Married,SUV,52564
FR15942,Washington,Bachelor,Medical Leave,M,Suburban,Married,Two-Door Car,19098
GX22886,Arizona,College,Employed,M,Urban,Married,Four-Door Car,78784
HQ70429,Washington,College,Unemployed,F,Rural,Single,Two-Door Car,0
YT84266,Oregon,College,Employed,M,Suburban,Married,Four-Door Car,29256
GH48715,Arizona,High School or Below,Employed,F,Rural,Single,Four-Door Car,77912
BN46866,Oregon,College,Employed,M,Rural,Married,Four-Door Car,45345
CG94611,Oregon,College,Medical Leave,M,Suburban,Single,Two-Door Car,25630
GK94889,California,College,Employed,M,Rural,Married,Four-Door Car,22280
QN62538,Nevada,High School or Below,Unemployed,M,Suburban,Single,Four-Door Car,0
UQ13133,Nevada,Master,Employed,M,Rural,Married,Four-Door Car,61567
DI65961,Arizona,High School or Below,Employed,M,Suburban,Married,Four-Door Car,34644
WQ85760,California,College,Medical Leave,M,Suburban,Divorced,SUV,26991
No35621,Arizona,Bachelor,Employed,M,Suburban,Single,Two-Door Car,49746
IA11644,California,High School or Below,Unemployed,M,Suburban,Single,Two-Door Car,0
TV53243,Arizona,College,Employed,F,Urban,Married,Two-Door Car,49625
WV53081,Arizona,College,Employed,F,Rural,Married,Four-Door Car,49308
LL57541,California,Master,Employed,F,Rural,Married,Four-Door Car,63624
RP27249,Oregon,Master,Employed,F,Urban,Married,SUV,80358
OT85112,Washington,College,Employed,M,Rural,Divorced,Four-Door Car,38460
GV47847,California,High School or Below,Unemployed,M,Suburban,Single,Two-Door Car,0
BB48165,California,Bachelor,Unemployed,F,Suburban,Single,SUV,0
HH80006,Oregon,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
TH70115,California,College,Employed,M,Urban,Married,Two-Door Car,34835
WE64781,Oregon,Bachelor,Employed,F,Urban,Married,Sports Car,93836
KN27565,Oregon,Master,Employed,M,Rural,Single,Luxury SUV,34075
LE85123,Oregon,Bachelor,Employed,M,Urban,Single,Four-Door Car,35624
QF76244,Oregon,Doctor,Employed,F,Urban,Married,Four-Door Car,83218
PU73561,Arizona,Bachelor,Employed,F,Suburban,Married,SUV,24641
HM38744,Oregon,Bachelor,Retired,M,Suburban,Married,SUV,22828
ST59524,Oregon,College,Unemployed,M,Suburban,Married,Four-Door Car,0
EZ77297,California,Master,Employed,M,Urban,Single,Four-Door Car,28729
DR84843,Arizona,Bachelor,Employed,M,Rural,Married,Four-Door Car,72731
MV54498,California,College,Employed,F,Rural,Single,Four-Door Car,59932
EM85557,Washington,College,Employed,F,Suburban,Married,Four-Door Car,54292
FY73682,California,Bachelor,Unemployed,M,Suburban,Single,Luxury SUV,0
XT54610,California,Bachelor,Unemployed,F,Suburban,Single,Four-Door Car,0
CE16324,Nevada,College,Employed,F,Urban,Married,Two-Door Car,59414
KX75698,Oregon,High School or Below,Employed,M,Suburban,Married,SUV,96587
UV82770,California,Bachelor,Unemployed,M,Suburban,Divorced,SUV,0
MX95450,Oregon,College,Unemployed,F,Suburban,Single,SUV,0
XF96605,California,College,Employed,M,Urban,Divorced,Two-Door Car,94362
WQ75856,Oregon,Bachelor,Employed,F,Urban,Married,Four-Door Car,84488
JG35886,California,College,Employed,F,Urban,Married,Four-Door Car,65085
XY66810,California,Bachelor,Unemployed,F,Suburban,Single,Two-Door Car,0
ON50913,California,College,Unemployed,F,Suburban,Married,Four-Door Car,0
LS59408,Arizona,High School or Below,Unemployed,M,Suburban,Married,Four-Door Car,0
XQ14689,Nevada,College,Unemployed,M,Suburban,Single,Four-Door Car,0
QF55724,California,Bachelor,Employed,M,Suburban,Married,Four-Door Car,60798
FD79560,Arizona,High School or Below,Employed,F,Suburban,Divorced,Two-Door Car,30761
KM18818,Arizona,College,Employed,F,Rural,Married,Two-Door Car,25981
XA28126,California,Bachelor,Employed,M,Rural,Divorced,SUV,67739
LJ93770,Arizona,Doctor,Employed,F,Urban,Married,SUV,25581
MK52711,California,High School or Below,Employed,F,Rural,Married,Two-Door Car,99759
AZ68184,Washington,High School or Below,Employed,M,Suburban,Married,SUV,76514
NN52789,Arizona,Bachelor,Disabled,M,Suburban,Married,Sports Car,18375
XC68458,California,Bachelor,Medical Leave,M,Suburban,Single,Four-Door Car,21832
AF49027,Arizona,College,Unemployed,F,Suburban,Single,Two-Door Car,0
PR22184,California,College,Employed,F,Suburban,Married,Sports Car,95330
GM98732,California,College,Unemployed,F,Suburban,Married,SUV,0
NP66209,California,College,Unemployed,F,Suburban,Married,Two-Door Car,0
GA46608,Oregon,Bachelor,Employed,M,Suburban,Married,Four-Door Car,25899
FZ79470,Arizona,Bachelor,Unemployed,F,Suburban,Married,Four-Door Car,0
KR10942,Oregon,Bachelor,Employed,F,Urban,Married,Two-Door Car,33201
AW86033,California,College,Disabled,M,Suburban,Married,Two-Door Car,18287
LM79063,Arizona,Doctor,Employed,F,Suburban,Divorced,Two-Door Car,76506
NB30963,California,High School or Below,Employed,M,Rural,Married,Two-Door Car,41859
AO40386,Oregon,College,Retired,M,Suburban,Divorced,Four-Door Car,27504
BN74259,Arizona,High School or Below,Employed,M,Suburban,Divorced,Four-Door Car,45360
XV69290,California,College,Employed,M,Suburban,Single,Four-Door Car,49078
RE97741,California,High School or Below,Unemployed,M,Suburban,Single,Four-Door Car,0
HN69035,Arizona,College,Employed,F,Rural,Married,Four-Door Car,91810
SI48717,Oregon,College,Employed,M,Suburban,Divorced,SUV,70600
PJ67250,Arizona,College,Employed,F,Suburban,Married,SUV,33554
SH85263,California,Bachelor,Employed,M,Urban,Married,Two-Door Car,77642
WV37081,California,College,Employed,M,Urban,Married,Four-Door Car,25963
No61408,California,Bachelor,Employed,F,Suburban,Married,SUV,57452
DE91458,Washington,Master,Unemployed,F,Suburban,Married,Four-Door Car,0
EP83939,Arizona,High School or Below,Employed,M,Rural,Married,Four-Door Car,91416
IU17657,California,Bachelor,Disabled,M,Suburban,Married,Two-Door Car,22000
EO95166,Oregon,Bachelor,Employed,M,Urban,Divorced,Four-Door Car,41167
KX79225,Oregon,High School or Below,Unemployed,M,Suburban,Single,Four-Door Car,0
EZ60033,California,Bachelor,Unemployed,F,Suburban,Married,Four-Door Car,0
KK58047,Oregon,College,Employed,M,Suburban,Married,Two-Door Car,53944
JW62354,Nevada,College,Employed,F,Rural,Married,SUV,75648
TT18939,California,Bachelor,Medical Leave,M,Rural,Divorced,Four-Door Car,29414
IJ21010,Arizona,Bachelor,Employed,F,Suburban,Single,SUV,48567
PZ31902,Arizona,Bachelor,Employed,F,Urban,Married,Two-Door Car,69276
WD88540,California,High School or Below,Unemployed,M,Suburban,Married,Two-Door Car,0
IL67915,Arizona,College,Employed,F,Urban,Single,Four-Door Car,50117
VQ76590,Arizona,Bachelor,Retired,M,Suburban,Married,SUV,22828
FJ60600,Oregon,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
MP53132,Oregon,High School or Below,Unemployed,F,Suburban,Single,SUV,0
XP96549,Oregon,High School or Below,Employed,F,Suburban,Married,SUV,20868
VC34797,California,Bachelor,Employed,F,Rural,Married,Four-Door Car,40921
QV30663,Nevada,Master,Employed,F,Rural,Married,SUV,99654
AK90865,Oregon,High School or Below,Unemployed,F,Suburban,Single,Sports Car,0
BX51438,Arizona,Bachelor,Employed,M,Urban,Married,Four-Door Car,56218
DU38713,Arizona,High School or Below,Employed,F,Rural,Married,Two-Door Car,70717
WQ13284,California,College,Employed,M,Urban,Divorced,Four-Door Car,62989
JB36584,Arizona,Master,Employed,M,Suburban,Married,Four-Door Car,41459
WQ23548,California,Master,Unemployed,F,Suburban,Single,SUV,0
WZ98067,Oregon,College,Employed,M,Rural,Married,Four-Door Car,42512
AQ11656,Arizona,Bachelor,Unemployed,M,Suburban,Married,Four-Door Car,0
KL14426,Nevada,Doctor,Employed,F,Urban,Married,SUV,83288
PG48617,California,High School or Below,Employed,M,Urban,Married,Four-Door Car,46267
QB24570,Oregon,Master,Unemployed,F,Suburban,Single,Sports Car,0
NI68379,Oregon,Master,Employed,M,Suburban,Married,Four-Door Car,74424
RS92763,Oregon,College,Unemployed,F,Suburban,Single,Four-Door Car,0
PA75237,Nevada,Doctor,Employed,M,Suburban,Married,Two-Door Car,58883
LR35392,Oregon,High School or Below,Employed,M,Suburban,Single,Four-Door Car,41539
KC22636,California,High School or Below,Employed,F,Rural,Married,Four-Door Car,33881
IJ98317,California,Bachelor,Employed,F,Rural,Married,Four-Door Car,86448
DY49235,Arizona,College,Disabled,F,Suburban,Divorced,Four-Door Car,25237
EG94409,Nevada,High School or Below,Unemployed,F,Suburban,Single,Four-Door Car,0
GB59748,Arizona,College,Employed,F,Urban,Married,Four-Door Car,49419
MP68135,Oregon,College,Employed,M,Suburban,Married,Four-Door Car,90414
CZ56843,California,College,Employed,M,Suburban,Single,Four-Door Car,39930
DJ47372,California,Doctor,Disabled,M,Suburban,Divorced,Four-Door Car,23202
XZ51937,California,Master,Employed,F,Suburban,Divorced,SUV,79487
IZ27630,Oregon,Master,Employed,M,Urban,Single,Two-Door Car,68423
IM14119,Arizona,Bachelor,Employed,F,Suburban,Married,Two-Door Car,84495
PN53766,California,Doctor,Employed,M,Urban,Married,Four-Door Car,43091
DQ93036,Arizona,High School or Below,Employed,M,Rural,Married,Four-Door Car,41951
WA70405,Nevada,College,Employed,M,Suburban,Single,SUV,89834
NF51705,Nevada,High School or Below,Employed,M,Urban,Single,Two-Door Car,92157
LR37068,Oregon,College,Employed,F,Suburban,Married,Four-Door Car,35773
EC18611,Nevada,High School or Below,Unemployed,M,Suburban,Single,Two-Door Car,0
NP88319,Oregon,High School or Below,Disabled,F,Suburban,Married,Two-Door Car,15850
AA11235,Nevada,Bachelor,Medical Leave,F,Suburban,Married,Two-Door Car,11167
DL55489,Oregon,High School or Below,Employed,M,Suburban,Married,Four-Door Car,21195
UU53919,Oregon,Master,Employed,F,Urban,Married,Two-Door Car,27430
